                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 0.9858,                0.77369,                 1.2616,                0.96193,                0.43133,                0.47133,                0.32917,                 1.1119,                0.81067,                 1.3483,              0.0012379,              0.0012379,              0.0012379
                     16,                0.96901,                0.75688,                 1.2592,                0.97816,                0.41845,                0.47734,                0.34609,                 1.0274,                0.84474,                 1.2849,              0.0012049,              0.0012049,              0.0012049
                     17,                0.95678,                0.75215,                 1.2354,                0.94152,                0.45364,                0.47906,                0.34949,                  0.974,                0.77708,                 1.2901,              0.0011719,              0.0011719,              0.0011719
                     18,                0.95497,                  0.742,                 1.2454,                0.97261,                0.44436,                0.48181,                0.35438,                0.97003,                0.71497,                 1.3136,              0.0011389,              0.0011389,              0.0011389
                     19,                 0.9623,                0.77445,                 1.2618,                0.95533,                 0.4485,                0.51429,                0.37845,                 1.0018,                0.72762,                 1.2844,              0.0011059,              0.0011059,              0.0011059
                     20,                0.89378,                0.70599,                 1.2268,                0.97822,                0.45064,                0.50758,                0.38059,                0.91903,                0.62441,                 1.2317,              0.0010729,              0.0010729,              0.0010729
                     21,                0.90517,                0.67338,                 1.2179,                0.97182,                0.46716,                0.50256,                 0.3856,                0.91228,                0.57766,                 1.2252,              0.0010399,              0.0010399,              0.0010399
                     22,                0.88347,                0.68747,                 1.2279,                0.97447,                0.44421,                0.47471,                0.35008,                0.97494,                0.65936,                 1.2709,              0.0010069,              0.0010069,              0.0010069
                     23,                0.90122,                0.66942,                 1.2136,                0.97299,                0.46137,                0.48998,                0.36345,                0.96262,                0.62362,                 1.2577,             0.00097386,             0.00097386,             0.00097386
                     24,                 0.8539,                0.63783,                 1.1855,                0.97402,                 0.4485,                0.47726,                0.35552,                0.95635,                0.71283,                 1.2406,             0.00094085,             0.00094085,             0.00094085
                     25,                0.86641,                0.64461,                 1.1916,                 0.9847,                0.45708,                0.49307,                0.36941,                0.94788,                0.59737,                 1.2547,             0.00090785,             0.00090785,             0.00090785
